inchi,smiles,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8
"InChI=1/C8H16/c1-5-8(6-2)7(3)4/h5-6H2,1-4H3",[H]C([H])([H])C(=C(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-108.725424,433.62976,182.79896,225.936,266.18608,301.28984,357.5228,399.69752,465.59552,-107.38092440428903,431.28310794283715,180.92301014653765,224.7651440810815,265.5838466415542,300.6283008641642,356.950839240209,398.66975731049905,465.13232460830045
"InChI=1/C7H10/c1-4-5-6-7(2)3/h5-6H,1H2,2-3H3",[H]C([H])=C=C([H])C([H])=C(C([H])([H])[H])C([H])([H])[H],186.535272,373.12912,140.54056,175.35144,204.97416,229.15768,265.97688,292.96368,335.18024,186.55533814056477,374.7205031692599,138.8086141470077,172.5676855683314,202.50574258401767,227.23121213426091,264.91952773829735,291.8670948194354,334.0079758413852
"InChI=1/C11H24/c1-7-9-11(5,6)10(3,4)8-2/h7-9H2,1-6H3",[H]C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-280.374024,516.9332,275.26536,346.93728,406.30824,455.4284,533.12528,592.28704,686.21784,-279.4148870088609,518.8043859589552,271.7218983274226,340.8321451835085,401.37899728476503,452.1157213460009,531.5198138270473,591.6216686812363,685.9199530287339
"InChI=1/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2",[H]C([H])=C([H])C([H])([H])C([H])=C([H])[H],106.403304,326.5612,101.62936,125.1016,146.60736,165.10064,194.30496,216.14544,250.53792,104.71640783714005,326.873720268804,101.91840079930256,124.88504350253703,146.54420706093424,164.55882119319455,193.55279688529936,214.28980958173173,250.2687631371473
"InChI=1/C8H12/c1-4-5-6-7-8(2)3/h4-6H,1-3H3/b5-4-",[H]C(=C=C(C([H])([H])[H])C([H])([H])[H])/C([H])=C(/[H])C([H])([H])[H],160.460584,411.11984,161.41872,200.91568,235.68472,264.72168,309.49048,342.41856,393.63072,160.55256762415894,410.9292917702368,162.45328160721976,200.68468551591351,235.32416007424135,264.49881353798355,309.8011097911728,342.1776540151261,392.97959124394725
"InChI=1/C8H18/c1-5-7-8(3,4)6-2/h5-7H2,1-4H3",[H]C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-225.346056,442.458,192.0456,244.38744,290.07672,328.444,388.65176,433.71344,504.3812,-224.27491085283668,441.2285617234654,194.1773812317499,244.4406030509369,289.71075215809753,327.8686197244557,388.04540246586447,432.9667785738263,503.7429714968971
"InChI=1/C10H8/c1-5-9-10(6-2,7-3)8-4/h2-5,9H,1H3/b9-5-",[H]C#CC(C#C[H])(C#C[H])/C([H])=C(/[H])C([H])([H])[H],795.7968,434.80128,180.49776,216.14544,244.30376,266.89736,301.37352,326.7704,366.68576,795.2319329460008,433.5999658582756,181.0958211845777,216.80107130478578,244.94770577720354,267.4176878986193,301.3155824149351,325.7074109451322,366.35152615965643
InChI=1/C6H12/c1-5(2)6(3)4/h1-4H3,[H]C([H])([H])C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-68.517184,362.7528,122.46568,154.5988,185.5604,212.92376,257.27416,290.74616,343.00432,-65.36611940455398,363.3279049381938,121.58614629424054,153.44211771980238,184.73969867860328,211.90711857361813,256.39000439385745,290.17380246593274,344.4835757740464
"InChI=1/C8H16/c1-5-7-8(3,4)6-2/h5,7H,6H2,1-4H3/b7-5-",[H]/C(=C(\[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-94.826176,433.71344,181.1672,226.60544,268.06888,303.46552,359.36376,400.95272,466.01392,-93.74250347053237,434.5946396057765,182.86900986074158,227.0628861858022,267.41330800828325,302.19222743985495,357.43409822449814,398.7456541537323,464.33719152258226
"InChI=1/C6H12/c1-4-5-6(2)3/h4-6H,1-3H3/b5-4+",[H]/C(=C(/[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-61.052928,371.03712,137.48624,169.32648,198.82368,224.4716,265.64216,296.8548,346.14232,-65.11864923717096,371.6931519803665,136.11641997622894,168.9064375495345,199.3593851273731,225.26052756792572,266.752970736763,298.2915733238393,347.65019937175856
"InChI=1/C8H8/c1-4-7-8(5-2)6-3/h2,6H,1,3H3/b8-6+",[H]C#C/C(C#CC([H])([H])[H])=C(/[H])C([H])([H])[H],456.20244,399.86488,143.38568,172.88288,198.48896,220.12024,254.30352,279.74224,319.2392,452.3798783128411,400.88248926604473,142.45971620966714,172.87477581337893,198.7801603933567,220.30564614049496,253.54669868981034,278.4990482178682,318.1373062193753
"InChI=1/C6H4/c1-4-6(3)5-2/h1-2H,3H2",[H]C#CC(C#C[H])=C([H])[H],539.284128,316.97984,103.63768,124.18112,139.49456,151.33528,169.07544,182.04584,202.63112,539.2055320879763,316.2617555303869,103.8592609626107,124.58144039001357,140.07921640760134,152.15803622033275,168.55930071862218,181.54650924603754,200.49785190528405
"InChI=1/C6H8/c1-4-5-6(2)3/h2H2,1,3H3",[H]C([H])=C(C#CC([H])([H])[H])C([H])([H])[H],212.287792,352.87856,113.21904,138.65776,161.46056,181.08352,212.37984,235.93576,272.7968,210.9054355114948,352.4154294496749,112.81888665233222,138.55823851813702,161.59126431540716,181.41329323386907,212.15850252656054,235.9098003019783,272.5529866353879
"InChI=1/C6H14/c1-5-6(2,3)4/h5H2,1-4H3",[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-188.710952,362.04152,145.05928,184.26336,219.11608,248.57144,294.88832,329.53184,384.17488,-185.68777662014764,359.2754080433858,141.8355261133239,181.7063191764868,217.14889191865606,246.37219973699655,292.85165168264086,326.67174730621275,382.02351638066654
"InChI=1/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-229.475664,502.20552,227.06568,275.26536,322.25168,363.92432,431.3704,482.45704,562.49696,-230.92198654135132,502.6314519023592,225.29397067440698,275.24761041504604,322.77799388592206,364.24789340033874,431.01510602309065,481.56803764970493,562.0183087855688
"InChI=1/C5H6/c1-3-5-4-2/h1,4H,2,5H2",[H]C#CC([H])([H])C([H])=C([H])[H],275.959904,322.67008,93.97264,115.18552,133.0512,147.86256,170.83272,187.94528,214.93208,275.2628664373731,318.7036579050063,93.27896840343567,115.34764330624714,133.49930866804158,148.2413974059125,170.4365730912623,186.9178193203295,214.163401766446
"InChI=1/C7H10/c1-3-5-7-6-4-2/h3-7H,1H2,2H3/b6-4+,7-5+",[H]C([H])=C([H])/C([H])=C([H])/C([H])=C(\[H])C([H])([H])[H],131.850392,365.13768,136.94232,175.81168,209.66024,236.77256,275.68376,302.16848,341.28888,134.66788772848037,366.40822430341825,136.1435207481376,175.34140271401398,210.00417680020925,237.4144274425601,276.23456380411335,302.5800250599865,341.32595428024337
"InChI=1/C9H18/c1-5-8(4)9(6-2)7-3/h5-7H2,1-4H3",[H]C([H])([H])C(=C(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-128.92996,466.22312,209.15816,259.11512,304.63704,343.96664,406.6848,453.58744,526.68192,-129.61320585603437,470.6582444767146,205.64638719419236,256.5188337311738,302.81315348934646,342.45566871823456,404.8103273989891,450.66121684547636,524.2733873052125
"InChI=1/C7H14/c1-5-7(4)6(2)3/h6H,4-5H2,1-3H3",[H]C([H])=C(C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-80.721912,405.30408,154.808,195.30912,232.04464,263.29912,312.50296,349.1548,406.43376,-82.7798791288021,403.1529026979065,157.29774503617116,197.65528550704792,233.66594225815876,263.8512136672497,311.61683324306483,347.03837915299044,403.46909992176904
"InChI=1/C7H6/c1-4-7(5-2)6-3/h1-2,6H,3H3",[H]C#CC(C#C[H])=C([H])C([H])([H])[H],500.527736,358.06672,125.56184,150.49848,170.66536,187.15032,212.67272,231.54256,261.16528,498.41241896128287,356.66174315179643,124.69129283869015,150.62299365699752,171.63149266934613,188.07917821678848,212.6309328990547,230.94657792872096,260.35009070343483
"InChI=1/C7H10/c1-3-5-7-6-4-2/h3-7H,1H2,2H3/b6-4-,7-5-",[H]C([H])=C([H])/C([H])=C([H])\C([H])=C(\[H])C([H])([H])[H],143.423336,362.92016,132.0052,171.46032,206.64776,235.01528,274.93064,301.28984,339.95,141.71175066694173,364.29006544277405,132.6279661621438,172.7116039792594,207.82532487191745,235.68078399018987,274.82626876412223,300.6174864907554,339.28041906913296
"InChI=1/C5H12/c1-5(2,3)4/h1-4H3",[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-172.251096,308.48632,123.80456,157.06736,186.3972,211.04096,249.74296,278.8636,325.01312,-177.4598122652743,309.05090748734483,123.09185296869299,156.535575240221,186.94651960991723,210.9739798131706,249.47126355751953,279.86637967140143,329.46503937261633
"InChI=1/C5H8/c1-4-5(2)3/h1,5H,2-3H3",[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],139.519664,320.78728,105.72968,130.79184,152.0884,169.78672,197.4848,218.36296,251.54208,137.41192195487315,319.9668342197725,104.93420493850599,130.22491921440943,151.83640858278017,170.11029620996834,197.0622666710458,218.53514389855167,252.5231273741045
"InChI=1/C6H8/c1-3-5-6-4-2/h3-5H,1H2,2H3",[H]C(=C=C([H])C([H])([H])[H])C([H])=C([H])[H],222.768712,340.53576,116.06416,145.47768,170.41432,190.66488,221.20808,243.17408,276.9808,224.43236559810896,342.93629343595876,115.59193242857464,144.9630436959985,170.298148141939,190.98098713752518,220.74091190231246,242.71067350667505,275.5266486519457
"InChI=1/C7H8/c1-5-7(3,4)6-2/h1-2H,3-4H3",[H]C#CC(C#C[H])(C([H])([H])[H])C([H])([H])[H],397.01976,356.10024,139.70376,170.12144,194.3468,213.63504,242.96488,264.638,299.03048,396.1488967766628,354.9796194971824,139.19948171781948,169.74540824739304,194.44314471996094,213.87084773794547,242.44005660762957,263.5567235253588,297.5480502857289
"InChI=1/C8H18/c1-6(2)8(5)7(3)4/h6-8H,1-5H3",[H]C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-221.505144,431.28672,197.0664,247.94384,292.54528,329.99208,388.94464,433.37872,503.7536,-223.8759731377059,439.4699214660943,192.3219379326926,243.64002790799793,289.00315857925796,327.7308039447812,387.8849496999034,432.84533683450843,504.531061178238
"InChI=1/C9H20/c1-8(2,3)7-9(4,5)6/h7H2,1-6H3",[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-250.207384,444.08976,212.338,272.1692,324.42736,368.02464,435.5544,485.51136,563.66848,-248.04720180668545,441.2334229267759,211.329999898121,271.57959216555076,324.87034168343814,369.2732790393791,437.0872311559986,486.5728666350769,563.4882831069674
"InChI=1/C9H12/c1-5-9(6-2,7-3)8-4/h1,6-7H,2-3,8H2,4H3",[H]C#CC(C([H])=C([H])[H])(C([H])=C([H])[H])C([H])([H])C([H])([H])[H],304.390184,434.00632,188.11264,229.45056,263.84304,292.08504,335.5568,367.68992,418.23264,308.22292029395976,432.7392382539398,185.89649611916636,227.75614853502753,262.78962115272094,291.0457332957409,334.8861418035689,366.7332619770833,417.63989533793324
"InChI=1/C5H6/c1-3-5-4-2/h3H,1H2,2H3",[H]C([H])=C([H])C#CC([H])([H])[H],247.0652,319.61576,89.57944,109.66264,127.65384,143.00912,167.31816,185.51856,213.92792,244.0002328822427,318.5058006170191,89.8050100129519,109.67990294280062,127.20244279954198,143.30683740802743,168.89151949951048,183.24132938211483,212.27204984272765
"InChI=1/C9H14/c1-8(2)6-5-7-9(3)4/h5-6H,1-4H3",[H]C(=C=C(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C([H])([H])[H],123.34432,444.7592,186.6064,230.91496,270.24456,303.29816,354.84504,393.04496,452.62512,123.44116268426677,443.54605096400905,185.64057992435053,229.07497092649442,268.2998699100326,301.57773224206545,353.70685975483514,391.4589291149543,451.28788018989496
"InChI=1/C6H10/c1-3-5-6-4-2/h3-6H,1-2H3/b5-3-,6-4+",[H]C(=C(\[H])C([H])([H])[H])/C([H])=C(\[H])C([H])([H])[H],49.274968,354.09192,120.58288,153.21808,183.13368,208.02848,245.22424,271.62528,312.25192,47.57197048107162,347.39559518442354,121.38600185964023,153.779590534395,183.15376741676016,207.62504876554715,244.34773996276533,271.3943160344477,312.3987914272626
"InChI=1/C7H12/c1-3-5-7-6-4-2/h3,5,7H,1,4,6H2,2H3/b7-5-",[H]C([H])=C([H])/C([H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])[H],40.254264,390.61824,143.76224,185.142,221.62648,251.2492,294.972,325.84992,373.29648,37.92767479566429,392.15545085022006,144.9032927840733,184.64573076279572,220.5053609610994,249.95210334200613,293.83405666348904,324.712773562989,372.5739584452022
"InChI=1/C9H18/c1-7(2)8(3)9(4,5)6/h1-6H3",[H]C([H])([H])C(=C(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-116.160392,457.47856,197.81952,246.56312,292.00136,331.7912,395.93192,444.42448,520.6988,-122.94304010656413,455.0933869783734,194.59955135723948,245.13337386286497,291.7389266320127,332.3267663578546,396.8989814838395,445.2772601265392,521.3822973340712
"InChI=1/C4H10/c1-4(2)3/h4H,1-3H3",[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-137.323064,296.72928,98.03112,124.2648,147.94624,168.23864,200.66464,225.26656,264.4288,-136.70169196335314,297.7258610425411,99.22704989288576,125.08572055986787,147.5852977043811,168.9121680353204,201.22645098532075,225.12783126441775,266.34054569593906
"InChI=1/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])[H],-22.639624,344.05032,110.41576,138.19752,163.5944,185.3512,219.99472,246.0192,287.10608,-21.204719245047016,344.0211624968306,110.84505194466308,138.41962500030417,164.1728254919754,184.82460752281605,218.26635450593625,245.5324539712169,286.19566521716763
"InChI=1/C5H6/c1-3-5-4-2/h1,4-5H,2H3/b5-4+",[H]C#C/C([H])=C(\[H])C([H])([H])[H],255.445752,312.79584,95.10232,115.22736,132.54912,147.15128,170.16328,187.48504,214.72288,252.70062476245036,313.8572276019986,94.2366259378141,115.16777775259732,132.74354625066383,147.34902819676051,171.1007380446302,186.517879793026,215.4969002356143
"InChI=1/C4H4/c1-3-4-2/h1,4H,2H2",[H]C#CC([H])=C([H])[H],290.101824,277.52472,71.88112,87.32008,99.87208,110.0392,125.68736,137.36072,155.854,287.55007976885446,275.2286330050863,71.72976926558593,87.79438099291286,99.77166550457201,110.45091193722129,126.26480275532128,137.06654551728417,155.17781826419207
"InChI=1/C5H8/c1-4-5(2)3/h1H2,2-3H3",[H]C([H])=C=C(C([H])([H])[H])C([H])([H])[H],125.720832,319.61576,103.47032,126.27312,146.94208,164.8496,193.80288,215.81072,250.49608,127.03011020981509,317.7287446332999,103.12900856418923,126.50657867481911,147.06414194806788,166.07598567633346,193.01803005665386,216.533239464982,251.5254172731665
"InChI=1/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3",[H]C([H])=C([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-63.232792,350.53552,135.93816,171.92056,203.30056,229.53424,270.24456,300.49488,348.06696,-62.08346072455191,354.0953224222504,135.18228660974117,171.11436744318246,203.3307171850646,228.9069952569958,269.0874982804727,298.7981350994872,347.1602277161361
"InChI=1/C8H12/c1-4-5-6-7-8(2)3/h7H,4H2,1-3H3",[H]C(C#CC([H])([H])C([H])([H])[H])=C(C([H])([H])[H])C([H])([H])[H],153.013064,426.39144,156.43976,193.51,227.10752,256.10264,302.294,336.93752,390.86928,153.9274894871137,428.8099760196777,155.23083865931022,192.62013509662293,226.48432359405768,255.2794345111975,301.28159723330145,335.7071043784174,390.1199690668002
"InChI=1/C7H8/c1-4-6-7(3)5-2/h2,4,6H,3H2,1H3/b6-4+",[H]C#CC(=C([H])[H])/C([H])=C(\[H])C([H])([H])[H],315.64096,364.6356,133.42776,166.02112,192.71504,213.76056,244.47112,266.3116,300.202,320.40042331468925,368.2866479774266,133.0715959117413,162.569056449998,187.68942960447768,208.22701410434618,239.65848156326973,263.4300194238395,300.2537859481402
"InChI=1/C9H8/c1-5-8-9(4,6-2)7-3/h2-3H,1,4H3",[H]C#CC(C#C[H])(C#CC([H])([H])[H])C([H])([H])[H],656.348264,419.19496,165.77008,199.1584,225.97784,247.6928,281.03928,305.68304,344.21768,655.5195352307733,419.07866771475227,164.91453038562537,197.9755359676585,225.0961065464356,246.8681997162444,279.9534725723955,304.070937148442,342.6714027950405
"InChI=1/C3H4/c1-3-2/h1H,2H3",[H]C#CC([H])([H])[H],185.451616,247.44176,60.33328,71.88112,81.92272,90.45808,104.34896,115.06,132.46544,188.6110039898691,246.00640368142427,59.743406078036884,70.56390273403497,82.33363585126767,90.1777014444366,103.42748765333567,114.22164663017992,131.14208211790196
"InChI=1/C7H14/c1-5-7(4)6(2)3/h5-6H,1-4H3/b7-5-",[H]/C(=C(\C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-87.303344,397.22896,153.67832,194.59784,231.70992,263.34096,312.9632,349.65688,406.6848,-86.35706617083903,399.5297279188427,153.10699739897592,193.13001693680852,229.78135850507888,261.00740443757286,310.78051607952386,347.2603659610782,405.3035704196883
"InChI=1/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3-",[H]/C(=C(\[H])C([H])([H])[H])C([H])([H])[H],0.18828,297.81712,82.67584,103.42848,123.46984,141.25184,170.03776,191.87824,226.22888,-4.085146410101345,299.3355085750718,82.62417779959316,101.97959093508283,123.0719537960814,140.83370422925316,169.2092294550847,191.72347638406086,225.85656098386414
"InChI=1/C7H14/c1-6(2)5-7(3)4/h5-6H,1-4H3",[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-93.257176,398.526,155.77032,196.60616,234.01112,265.8932,315.43176,351.6652,407.7308,-89.34135898571782,401.45747912774164,158.1030988494501,196.9674115195154,232.95272158228258,263.6393589634698,312.867712071871,350.07255534612403,407.70432271559764
"InChI=1/C7H10/c1-4-5-6-7(2)3/h6H,1-3H3",[H]C(C#CC([H])([H])[H])=C(C([H])([H])[H])C([H])([H])[H],172.627656,389.112,135.51976,165.51904,193.21712,217.44248,256.43736,285.80904,331.582,172.46364874085478,389.08615863016746,133.9992884831885,164.61281288635456,192.55015376065296,216.56711122666897,255.14800048324975,284.2803981598179,330.7666248888059
"InChI=1/C8H8/c1-5-8(6-2)7(3)4/h1-2H,3-4H3",[H]C#CC(C#C[H])=C(C([H])([H])[H])C([H])([H])[H],459.386464,384.80248,148.02992,177.82,202.924,223.88584,256.81392,281.374,319.78312,462.8419524106294,384.3630050760461,146.90486798144298,178.3660264642362,203.76421453428688,224.35500770798294,256.30004361894515,279.55793734495387,318.636913093907
"InChI=1/C8H14/c1-3-5-7-8-6-4-2/h3-6H,7-8H2,1-2H3/b5-3+,6-4+",[H]/C(=C(/[H])C([H])([H])C([H])([H])/C([H])=C(\[H])C([H])([H])[H])C([H])([H])[H],22.083152,441.2028,172.42264,211.12464,247.35808,279.03096,329.82472,368.06648,427.89768,18.61999347304547,443.98612665071283,170.6753708391173,209.28878622471035,246.04906296287675,278.25120162160084,329.9781605907258,369.18708449621647,429.80157944034215
"InChI=1/C7H10/c1-3-5-7-6-4-2/h3,5H,7H2,1-2H3/b5-3+",[H]/C(=C(/[H])C([H])([H])C#CC([H])([H])[H])C([H])([H])[H],202.597648,406.43376,134.68296,165.22616,193.34264,217.73536,256.81392,286.14376,331.83304,203.68551492339827,401.01102705747485,134.8598979207373,164.61049431419758,192.72791231319388,217.14665204533344,256.1115197593309,285.8444401075104,332.41844170916784
InChI=1/C6H2/c1-3-5-6-4-2/h1-2H,[H]C#CC#CC#C[H],691.041992,293.67496,100.8344,115.6876,125.81288,133.4696,145.01744,153.63648,167.23448,690.1039911361956,293.80611077319827,100.58501083550556,115.561953567861,126.30661339083883,132.9729850689937,143.48314362442449,152.76614110593152,165.53186011681515
"InChI=1/C6H8/c1-4-5-6(2)3/h1,5H,2-3H3",[H]C#CC([H])=C(C([H])([H])[H])C([H])([H])[H],214.655936,343.5064,117.73776,143.17648,165.43536,184.47256,214.76472,237.56752,273.46624,217.65416438033634,344.151299645194,116.61546635647144,142.86035842970014,165.46659166034402,184.5246003833885,214.25695118822756,237.02063403659997,272.7942825898386
"InChI=1/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",[H]C([H])=C([H])C(=C([H])[H])C([H])([H])[H],74.41244,314.55312,102.88456,131.75416,155.60296,174.38912,201.96168,221.91936,253.38304,77.36616559275791,318.31192067719496,102.23541004323872,128.80465465393038,152.20937301831873,172.76885609873682,199.856442281858,221.394338060809,254.8605088154627
"InChI=1/C8H18/c1-5-6-7-8(2,3)4/h5-7H2,1-4H3",[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-230.417064,433.92264,197.2756,248.5296,293.38208,331.03808,390.3672,434.9268,505.0088,-229.77346739669014,435.7190927507478,194.18680979965916,243.93472770343863,289.12868612853606,327.52693084986277,388.0992577715191,433.16578074184747,504.5242848692516
"InChI=1/C10H22/c1-7-10(6,8-2)9(3,4)5/h7-8H2,1-6H3",[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-253.671736,471.45312,243.67616,309.07208,366.43472,414.38336,488.52384,543.0832,627.8092,-252.3270259078451,467.42278748895865,244.55483747993637,309.567205906963,366.00583611938276,413.0350373106007,486.0736749044064,539.9790613218045,625.3049788265157
"InChI=1/C7H8/c1-3-5-7-6-4-2/h5-6H,1-2,7H2",[H]C([H])=C=C([H])C([H])([H])C([H])=C=C([H])[H],398.664072,371.91576,133.38592,160.54008,184.59808,204.93232,236.89808,260.62136,297.52424,392.9275080612247,372.801527379324,133.65269229137994,160.88996504249107,185.15415046862472,205.59369130264446,236.49801112046606,259.46830945431105,295.2462024237568
"InChI=1/C8H14/c1-4-7-8(5-2)6-3/h4-5,7-8H,2,6H2,1,3H3/b7-4-/t8-/m1/s1",[H]C([H])=C([H])[C@@]([H])(/C([H])=C(/[H])C([H])([H])[H])C([H])([H])C([H])([H])[H],29.212688,435.72176,174.34728,217.1496,255.09848,286.93872,336.3936,373.04544,430.36624,34.05015435514095,434.02501600747416,173.3631451415161,215.6852816399612,253.67483383449428,285.70924228018947,335.65777504966024,372.6740954444582,431.00261838056264
